file_name,class_id,confidence,point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y
064442001.png,16,0.954003,1139,180,1431,180,1431,494,1139,494
064507368.png,16,0.977024,491,124,757,124,757,427,491,427
065131036.png,17,0.957297,1108,56,1357,56,1357,317,1108,317
065203472.png,1,0.714224,541,762,828,762,828,1039,541,1039
065223169.png,16,0.974005,736,160,1015,160,1015,456,736,456
065330905.png,33,0.977328,791,483,1061,483,1061,774,791,774
065331262.png,33,0.976236,878,696,1169,696,1169,997,878,997
065425441.png,32,0.70799,1080,40,1331,40,1331,294,1080,294
065714256.png,16,0.974284,801,291,1091,291,1091,611,801,611
065750973.png,1,0.783887,387,324,631,324,631,571,387,571
065750973.png,8,0.706168,384,325,632,325,632,572,384,572
070016143.png,10,0.957806,480,709,767,709,767,989,480,989
070203878.png,25,0.954778,1348,634,1661,634,1661,958,1348,958
070305203.png,21,0.968092,721,89,982,89,982,382,721,382
070326639.png,1,0.957395,417,492,679,492,679,745,417,745
070537535.png,4,0.940402,342,145,579,145,579,408,342,408
070638309.png,17,0.60693,1035,85,1283,85,1283,341,1035,341
070924581.png,16,0.851653,454,494,754,494,754,831,454,831
070957510.png,8,0.960368,1125,235,1378,235,1378,469,1125,469
071020846.png,17,0.780596,1245,400,1559,400,1559,732,1245,732
071040074.png,16,0.972916,1195,249,1496,249,1496,563,1195,563
071126840.png,4,0.957366,372,261,617,261,617,534,372,534
071216504.png,4,0.97993,836,418,1098,418,1098,701,836,701
071228971.png,4,0.976342,720,169,964,169,964,430,720,430
071332675.png,16,0.972564,1200,247,1498,247,1498,563,1200,563
071514141.png,16,0.968522,715,148,996,148,996,449,715,449
071556611.png,16,0.975826,732,177,1016,177,1016,484,732,484
071556611.png,24,0.854032,1297,429,1583,429,1583,777,1297,777
071623410.png,21,0.971907,449,649,747,649,747,1008,449,1008
071711040.png,31,0.9295,1072,82,1324,82,1324,326,1072,326
071711040.png,21,0.608316,733,282,1076,282,1076,672,733,672
071716537.png,13,0.98589,1272,670,1571,670,1571,944,1272,944
071722808.png,13,0.97712,1097,184,1348,184,1348,420,1097,420
071745784.png,1,0.96664,1100,162,1361,162,1361,398,1100,398
071746614.png,1,0.961163,1286,545,1580,545,1580,812,1286,812
071916416.png,4,0.962272,821,413,1086,413,1086,708,821,708
072049095.png,23,0.65749,763,129,981,129,981,357,763,357
072050586.png,1,0.970315,1278,501,1573,501,1573,767,1278,767
072052199.png,23,0.961032,1148,252,1380,252,1380,493,1148,493
072216311.png,33,0.97747,1076,141,1329,141,1329,402,1076,402
072221717.png,33,0.973275,1100,162,1358,162,1358,426,1100,426
